"m_name","?column?"
"House of Cards","8.6000000000000000"
"Not the Nine O'Clock News","7.9000000000000000"
"What's That About?","7.4000000000000000"
"Aunty Donna: Best Content Ever!!1!","8.2000000000000000"
"Kurt Olssons julkalender","6.3000000000000000"
"My Little Pony: Equestria Girls Specials","6.8000000000000000"
"Ian Hislop: Trains That Changed the World","7.2000000000000000"
"Kodiak","7.2000000000000000"
"1 Girl 5 Gays","7.8000000000000000"
"Booh!","8.7000000000000000"
"Istorik","7.0000000000000000"
"Power Rangers Operation Overdrive","5.5000000000000000"
"Breaking News","6.2000000000000000"
"Shroud for a Nightingale","7.5000000000000000"
"Los simuladores","9.2000000000000000"
"Miss Marple: Nemesis","7.8000000000000000"
"Brandy: Special Delivery","5.9000000000000000"
"Shonen ninja Kaze no Fujimaru","8.4000000000000000"
"TIME: The Kalief Browder Story","8.4000000000000000"
"The Inca: Masters of the Clouds","7.5000000000000000"
"Mister Brau","6.3000000000000000"
"Grazhdanskiy brak","6.3000000000000000"
"The Hathaways","7.1000000000000000"
"A Friend of the Family","7.3000000000000000"
"Contrato de amor","8.4000000000000000"
"Divided States","7.0000000000000000"
"Haetbit ssodajida","6.3000000000000000"
"Zdrady","4.0000000000000000"
"The Johnny Cash Show","8.6000000000000000"
"Jimmy Durante Presents the Lennon Sisters","7.5000000000000000"
"The URL with Phred Show","7.7000000000000000"
"A Bit of a Do","7.1000000000000000"
"Ernest et Célestine, la collection","7.8000000000000000"
"Halo: Nightfall","5.5000000000000000"
"Keppeki danshi! Aoyama-kun","6.5000000000000000"
"Talk About","8.1000000000000000"
"Das letzte Wort","7.1000000000000000"
"Pa heeft een lief","4.2000000000000000"
"Telerop 2009 - Es ist noch was zu retten","7.2000000000000000"
"Subtext","8.6000000000000000"
"Crossfire","5.8000000000000000"
"Ten","4.2000000000000000"
"Blood Sweat and Heels","6.2000000000000000"
"How America Works","8.8000000000000000"
"Mesa de noticias","7.9000000000000000"
"The Andy Williams Show","7.9000000000000000"
"What's with Andy?","7.6000000000000000"
"Bednyye Abramovichi","7.2000000000000000"
"Cronkite Remembers","8.4000000000000000"
"Gukyeongi","7.0948306595365419"
"An Egg's Guide to Minecraft","8.9000000000000000"
"Danger Mouse","7.1000000000000000"
"Aprender a volar","7.8000000000000000"
"07 zglos sie","7.3000000000000000"
"Making a Murderer","8.5000000000000000"
"Brotherhood of the Rose","6.7000000000000000"
"Kaninlandet","7.8000000000000000"
"Sivi dom","8.8000000000000000"
"McClain's Law","7.6000000000000000"
"Destination One","7.2000000000000000"
"Baking with the Reys","8.9000000000000000"
"Natsume yûjinchô","8.1000000000000000"
"Edha","4.9000000000000000"
"Söndagsöppet","5.5000000000000000"
"Wild On...","6.2000000000000000"
"Noggin the Nog","8.5000000000000000"
"Mata Hari","6.0000000000000000"
"New Zealand from Above","8.4000000000000000"
"Queen Sono","6.1000000000000000"
"Encantadia","6.7000000000000000"
"Inu x Boku SS","7.0000000000000000"
"86-60-86","5.8000000000000000"
"V tihom omute...","7.0000000000000000"
"O Dia Depois da Eleição","4.6000000000000000"
"Comic Splash: The web-series","8.8000000000000000"
"Riddler","6.2000000000000000"
"Get a Life","8.1000000000000000"
"Isekai Shoukan wa Nidome desu","5.4000000000000000"
"Schwarz greift ein","6.3000000000000000"
"Batman: The Animated Series","9.0000000000000000"
"The Collector","6.6000000000000000"
"Chosen","7.3000000000000000"
"Second Time Around","7.0000000000000000"
"Kodenavn Hunter","6.8000000000000000"
"Lia","7.1000000000000000"
"Double Timing Wife","5.6000000000000000"
"Cheverísimo","6.3000000000000000"
"Hollywood Babylon","7.5000000000000000"
"Nepsyt toimistossa","6.5000000000000000"
"UP UP","7.5000000000000000"
"Star Wars Vehicle Flythroughs","6.2000000000000000"
"Absolutni debiutanci","7.2000000000000000"
"Osama Bin Laden: The Inside Story","7.8000000000000000"
"Club de Cuervos","8.2000000000000000"
"El Señor de la Querencia","8.4000000000000000"
"Ingen Retur","8.0000000000000000"
"The Genius of Photography","8.5000000000000000"
"Peter Pan and the Pirates","7.2000000000000000"
"Married: The First Year","6.4000000000000000"
"La usurpadora","7.7000000000000000"
